,county,product,quantity
216,East Lindsey,denim jeams,2891160
217,East Lindsey,beef mince,2891061
218,Falkirk,salmon fillets,2890824
219,East Lindsey,semi skimmed milk,2890476
220,East Lindsey,grey blazers,2890224
221,Falkirk,play station 3,2889771
222,East Lindsey,hp envy laptop,2888661
223,Falkirk,gameboy color,2888397
224,Falkirk,olive oil spread,2888286
225,Falkirk,Almond milk,2887818
226,East Lindsey,white shirt,2887743
227,Falkirk,mild cheddar cheese,2887242
228,East Lindsey,croisant ,2886333
229,East Lindsey,21 day mature rump steak,2886177
230,East Lindsey,god of war 2,2885505
231,Falkirk,pokemon blue,2885286
232,Falkirk,British baking potatoes loose,2884968
233,East Lindsey,british parsnips loose,2884896
234,East Lindsey,hp dv 3000 laptop,2884635
235,East Lindsey,dyson vacuum cleaner,2884263
236,Falkirk,oxford shoes,2883705
237,East Lindsey,Organic mILK,2883399
238,East Lindsey,21 day mature sirlion steak,2883117
239,Falkirk,21 day mature rump steak,2882931
240,East Lindsey,red velvet cake,2882052
241,Falkirk,Onions Loose,2881614
242,East Lindsey,Blueberry yoghurt,2881485
243,Falkirk,chocolate fudge cake,2881200
244,Falkirk,british fresh chicken thigh fillets,2881068
245,Falkirk,god of war 2,2880936
246,Falkirk,silk scarf,2880846
247,Falkirk,dual shock controller,2880702
248,Falkirk,Soy Milk,2880489
249,East Lindsey,vernison sausages,2879109
250,Falkirk,grey blazers,2878533
251,Falkirk,oxford shirt,2878269
252,East Lindsey,cotton tie,2877810
253,East Lindsey,Organic Kefir,2876880
254,Falkirk,denim jacket,2876274
255,Falkirk,Organic mILK,2875896
256,Falkirk,halo combat evolved,2874243
257,East Lindsey,pokemon yellow,2873133
258,Falkirk,macaron - x3,2873013
259,Falkirk,flapjack,2872950
260,Falkirk,dyson tower fan,2871660
261,Falkirk,rice,2871063
262,East Lindsey,diced chicken breast,2871000
263,East Lindsey,pokemon red,2870847
264,East Lindsey,bosch washing machine,2870808
265,East Lindsey,goat cheese,2870208
266,Falkirk,raspberries,2869998
267,Falkirk,diced vernison,2869461
268,Falkirk,dyson washing machine,2868972
269,East Lindsey,oxford shirt,2868792
270,East Lindsey,fresh turkey steak,2868699
271,East Lindsey,pain au raisins,2868651
272,East Lindsey,x-box 360,2868492
273,Falkirk,Plain Greek yoghurt,2867862
274,East Lindsey,grey cardigan,2867361
275,Falkirk,croisant ,2867280
276,Falkirk,dyson vacuum cleaner,2866275
277,East Lindsey,hotpoint washing machine,2865714
278,East Lindsey,gameboy color,2865420
279,Falkirk,fresh turkey steak,2865396
280,Falkirk,easy peeler loose,2865246
281,East Lindsey,macaron - x3,2861943
282,Falkirk,pain au raisins,2861322
283,Falkirk,dell inspiron laptop,2861115
284,Falkirk,Red pepper,2860983
285,Falkirk,chicken sausages,2860965
286,East Lindsey,large king prawns,2860359
287,Falkirk,brenton jumper,2860200
288,Falkirk,Oats Milk,2859180
289,Falkirk,linen shirt,2858766
290,Falkirk,Slightly salted butter,2858601
291,Falkirk,baby potatoes,2856900
292,Falkirk,sea bass fillets,2856639
293,Falkirk,Fairtrade Bananas Loose,2856060
294,Falkirk,Lemon,2855058
295,Falkirk,apple macbook pro mid 2009,2854800
296,Falkirk,shortbread,2854554
297,East Lindsey,free range large eggs x12,2853927
298,Falkirk,21 day mature sirlion steak,2852451
299,Falkirk,beef mince,2852340
300,East Lindsey,dual shock controller,2851896
301,East Lindsey,Lemon,2850543
302,Falkirk,almond croisant,2849655
303,Falkirk,pokemon yellow,2848194
304,Falkirk,Mixed pepper,2845536
305,East Lindsey,raspberries,2845008
306,Falkirk,samsung washing machine,2844324
307,Falkirk,silk tie,2841372
308,Falkirk,bosch washing machine,2841237
309,Falkirk,beans,2840850
310,East Lindsey,Soy Milk,2840832
311,East Lindsey,scottish salmon,2840238
312,Falkirk,chocolate twist,2839923
313,Falkirk,Organic Kefir,2838951
314,Falkirk,skimmed milk,2836926
315,Falkirk,courgette loose,2835828
316,Falkirk,pain au chocolate,2835696
317,Falkirk,vernison sausages,2835603
318,Falkirk,jam doughnut,2835066
319,Falkirk,mature cheddar cheese,2834244
320,East Lindsey,vanilla yoghurt,2833407
321,Falkirk,semi skimmed milk,2832393
322,Falkirk,cod fillets,2832369
323,Falkirk,lg washing machine,2832237
324,Falkirk,minecraft game - xbox,2832000
325,Falkirk,gaming mouse,2831916
326,Falkirk,white shirt,2831499
327,East Lindsey,minecraft game - xbox,2830908
328,Falkirk,fine beans,2827713
329,Falkirk,British carrots loose,2827542
330,Falkirk,fresh whole turkey,2826153
331,Falkirk,cheese cake,2825709
332,Falkirk,wristwatch,2825148
333,Falkirk,unsalted butter,2825049
334,Falkirk,gaming keyboard,2824131
335,East Lindsey,denim jacket,2823879
336,Falkirk,pokemon gold,2823648
337,Falkirk,linen trousers,2823603
338,Falkirk,aubergine,2823594
339,East Lindsey,silk scarf,2823279
340,Falkirk,custard doughnut,2823135
341,Falkirk,organic raspberry yoghurt,2821626
342,East Lindsey,21 day mature ribeye steak,2820543
343,Falkirk,millionaire square,2820477
344,Falkirk,british fresh turkey mince,2819358
345,Falkirk,21 day mature ribeye steak,2818908
346,Falkirk,red velvet cake,2817681
347,Falkirk,blue stilton cheese,2817468
348,Falkirk,classic bowtie,2817168
349,Falkirk,grey cardigan,2817078
350,Falkirk,diced chicken breast,2816247
351,Falkirk,apple macbook air mid 2009,2815107
352,Falkirk,british bramley cooking apples,2813694
353,Falkirk,Blueberry yoghurt,2813466
354,Falkirk,vanilla yoghurt,2813028
355,East Lindsey,Oats Milk,2812470
356,Falkirk,wellington boots,2812056
357,Falkirk,fresh whole chicken,2811090
358,Falkirk,plastic sunshades,2804331
359,Falkirk,Brocolli loose,2801625
360,Falkirk,scottish salmon,2800533
361,Falkirk,corn,2800266
362,Falkirk,goat cheese,2799762
363,Falkirk,hp envy laptop,2799204
364,Falkirk,gameboy advance,2796567
365,Falkirk,organic soured cream,2791371
366,Falkirk,pokemon red,2791308
367,Falkirk,pink blazers,2788560
368,Falkirk,hotpoint washing machine,2785302
369,Falkirk,celery,2784738
370,Falkirk,british fresh chicken brest fillets,2777382
371,Falkirk,hp dv 2000 laptop,2766885
372,East Cambridgeshire,wristwatch,2226852
373,East Cambridgeshire,chocolate twist,2196760
374,Greater London,wellington boots,2193160
375,East Cambridgeshire,gaming keyboard,2192648
376,East Cambridgeshire,Plain Greek yoghurt,2185566
377,East Cambridgeshire,21 day mature ribeye steak,2182548
378,East Cambridgeshire,Red pepper,2180578
379,East Cambridgeshire,dyson vacuum cleaner,2180510
380,East Cambridgeshire,hotpoint washing machine,2180152
381,East Cambridgeshire,fresh turkey steak,2179320
382,Warwickshire,macaron - x3,2178060
383,East Cambridgeshire,halo combat evolved,2176858
384,East Cambridgeshire,samsung washing machine,2172560
385,East Cambridgeshire,Brocolli loose,2171722
386,East Cambridgeshire,cheese cake,2170678
387,Greater London,pain au raisins,2170216
388,East Cambridgeshire,rice,2169792
389,East Cambridgeshire,British carrots loose,2169724
390,East Cambridgeshire,goat cheese,2167716
391,East Cambridgeshire,corned beef,2166746
392,East Cambridgeshire,organic soured cream,2165796
393,East Cambridgeshire,olive oil spread,2165588
394,East Cambridgeshire,Slightly salted butter,2165130
395,East Cambridgeshire,british fresh chicken thigh fillets,2165038
396,East Cambridgeshire,unsalted butter,2164500
397,East Cambridgeshire,vernison sausages,2163250
398,East Cambridgeshire,millionaire square,2162984
399,East Cambridgeshire,red velvet cake,2162494
400,East Cambridgeshire,free range large eggs x12,2161590
401,East Cambridgeshire,gameboy color,2161582
402,East Cambridgeshire,scottish salmon,2161188
403,East Cambridgeshire,dyson washing machine,2161166
404,East Cambridgeshire,british fresh turkey mince,2160644
405,Warwickshire,minecraft game - xbox,2160538
406,Warwickshire,mature cheddar cheese,2159732
407,East Cambridgeshire,pokemon yellow,2159704
408,East Cambridgeshire,mature cheddar cheese,2159672
409,East Cambridgeshire,silk scarf,2158858
410,East Cambridgeshire,hp envy laptop,2158792
411,East Cambridgeshire,semi skimmed milk,2158470
412,East Cambridgeshire,wellington boots,2158200
413,East Cambridgeshire,macaron - x3,2158018
414,East Cambridgeshire,classic bowtie,2157386
415,East Cambridgeshire,play station 3,2157258
416,Greater London,fine beans,2157164
417,East Cambridgeshire,silk tie,2157056
418,Warwickshire,brenton jumper,2157040
419,Warwickshire,gaming mouse,2155130
420,East Cambridgeshire,linen trousers,2154836
421,East Cambridgeshire,courgette loose,2153958
422,Kent,halo combat evolved,2153936
423,East Cambridgeshire,skimmed milk,2153926
424,East Cambridgeshire,21 day mature rump steak,2153802
425,East Cambridgeshire,raspberries,2153616
426,East Cambridgeshire,Oats Milk,2152994
427,East Cambridgeshire,denim jacket,2152834
428,Warwickshire,goat cheese,2152784
429,East Cambridgeshire,shortbread,2151146
430,East Cambridgeshire,fresh whole chicken,2151068
431,Greater London,cheese cake,2150694
432,Greater London,beef sausages,2150202
433,East Cambridgeshire,fine beans,2149132
434,Warwickshire,large king prawns,2149132
435,East Cambridgeshire,pink blazers,2148896
436,Greater London,Spring onions bunch,2148770
437,East Cambridgeshire,oxford shirt,2148674
438,Warwickshire,wellington boots,2148630
439,East Cambridgeshire,British baking potatoes loose,2148574
440,East Cambridgeshire,garlic,2148454
441,East Cambridgeshire,pokemon blue,2148376
442,East Cambridgeshire,pokemon red,2148218
443,Warwickshire,beef sausages,2148150
444,Greater London,dyson vacuum cleaner,2148084
445,East Cambridgeshire,pokemon gold,2148074
446,Warwickshire,linen trousers,2147932
447,Greater London,shortbread,2147920
448,Warwickshire,easy peeler loose,2147628
449,Orkney,Organic mILK,2147370
450,Warwickshire,grey blazers,2146716
451,East Cambridgeshire,Spring onions bunch,2146450
452,East Cambridgeshire,croisant ,2145542
453,Greater London,organic raspberry yoghurt,2145496
454,Warwickshire,dell inspiron laptop,2145244
455,East Cambridgeshire,sea bass fillets,2144548
456,Greater London,corned beef,2144348
457,East Cambridgeshire,fresh whole turkey,2144238
458,Greater London,red velvet cake,2143826
459,East Cambridgeshire,british parsnips loose,2143676
460,Warwickshire,pokemon blue,2143654
461,Warwickshire,semi skimmed milk,2143336
462,East Cambridgeshire,lg washing machine,2142834
463,Warwickshire,Oats Milk,2142548
464,East Cambridgeshire,dell inspiron laptop,2142432
465,Warwickshire,Organic Kefir,2141616
466,Orkney,white shirt,2141492
467,East Cambridgeshire,brenton t-shirt,2141086
468,East Cambridgeshire,diced chicken breast,2140858
469,Greater London,Brocolli loose,2139914
470,East Cambridgeshire,white shirt,2139712
471,Warwickshire,21 day mature ribeye steak,2139640
472,East Cambridgeshire,vanilla yoghurt,2138738
473,Warwickshire,god of war 2,2138394
474,Greater London,celery,2138126
475,Warwickshire,dual shock controller,2137796
476,Warwickshire,Onions Loose,2137686
477,Orkney,british fresh chicken brest fillets,2137608
478,Kent,linen trousers,2137360
479,Warwickshire,mild cheddar cheese,2136972
480,Greater London,pokemon gold,2136906
481,East Cambridgeshire,Soy Milk,2136880
482,Orkney,beans,2136512
483,Greater London,white shirt,2136424
484,East Cambridgeshire,grey cardigan,2136336
485,Greater London,organic soured cream,2136200
486,Greater London,dual shock controller,2136184
487,Greater London,pokemon red,2136176
488,East Cambridgeshire,denim jeams,2135960
489,Orkney,cotton tie,2135708
490,East Cambridgeshire,dyson tower fan,2135248
491,Warwickshire,oxford shoes,2135062
492,Warwickshire,sea bass fillets,2134778
493,Greater London,vernison sausages,2134744
494,Warwickshire,diced chicken breast,2134500
495,Greater London,bosch washing machine,2134192
496,East Cambridgeshire,oxford shoes,2133758
497,Greater London,beans,2133530
498,East Cambridgeshire,flapjack,2133176
499,Warwickshire,british fresh chicken thigh fillets,2133168
500,Warwickshire,cod fillets,2133108
501,East Cambridgeshire,large king prawns,2133092
502,Greater London,british bramley cooking apples,2132866
503,Orkney,blue stilton cheese,2132646
504,Warwickshire,fresh turkey steak,2132644
505,East Cambridgeshire,pain au raisins,2132416
506,Greater London,british fresh chicken brest fillets,2132080
507,Orkney,British carrots loose,2131722
508,Orkney,raspberries,2131298
509,Warwickshire,organic soured cream,2131240
510,Greater London,Plain Greek yoghurt,2131004
511,East Cambridgeshire,Fairtrade Bananas Loose,2130836
512,East Cambridgeshire,21 day mature sirlion steak,2130828
513,Warwickshire,21 day mature rump steak,2130716
514,East Cambridgeshire,Lemon,2130526
515,Warwickshire,plastic sunshades,2130156
516,Warwickshire,beef mince,2129802
517,Warwickshire,pain au chocolate,2129464
518,East Cambridgeshire,bosch washing machine,2129292
519,Greater London,Red pepper,2129110
520,Warwickshire,Brocolli loose,2128924
521,East Cambridgeshire,linen shirt,2128894
522,Orkney,oxford shoes,2128774
523,Greater London,silk scarf,2128750
524,Warwickshire,free range large eggs x12,2128082
525,East Cambridgeshire,jam doughnut,2128068
526,Warwickshire,classic bowtie,2127934
527,Warwickshire,fine beans,2127930
528,Orkney,large king prawns,2127836
529,Warwickshire,raspberries,2127748
530,Greater London,baby potatoes,2127664
531,East Cambridgeshire,x-box 360,2127598
532,Orkney,hotpoint washing machine,2127512
533,East Cambridgeshire,organic raspberry yoghurt,2127432
534,Warwickshire,samsung washing machine,2127260
535,Greater London,skimmed milk,2127220
536,East Cambridgeshire,brenton jumper,2127220
537,Warwickshire,chocolate fudge cake,2127092
538,Kent,salmon fillets,2126886
539,Greater London,dell inspiron laptop,2126878
540,Kent,apple macbook air mid 2009,2126834
541,Greater London,courgette loose,2126696
542,East Cambridgeshire,british fresh chicken brest fillets,2126474
543,Warwickshire,scottish salmon,2126456
544,Greater London,grey cardigan,2126280
545,East Cambridgeshire,grey blazers,2126216
546,Warwickshire,Almond milk,2126074
547,Greater London,chocolate fudge cake,2126066
548,Greater London,play station 3,2125948
549,Greater London,x-box 360,2125764
550,East Cambridgeshire,blue stilton cheese,2125732
551,Greater London,custard doughnut,2125588
552,Orkney,dell inspiron laptop,2125450
553,Orkney,brenton jumper,2125416
554,Greater London,free range large eggs x12,2125270
555,Greater London,gameboy color,2125268
556,Orkney,Soy Milk,2124980
557,Greater London,pain au chocolate,2124594
558,Orkney,macaron - x3,2124508
559,East Cambridgeshire,beef sausages,2124464
560,Greater London,fresh turkey steak,2124358
561,Warwickshire,hp dv 3000 laptop,2124168
562,Warwickshire,brenton t-shirt,2123666
563,Greater London,british parsnips loose,2123448
564,Warwickshire,celery,2123358
565,Greater London,millionaire square,2123014
566,Greater London,hotpoint washing machine,2122716
567,East Cambridgeshire,Organic mILK,2122500
568,East Cambridgeshire,easy peeler loose,2122250
569,Greater London,brenton t-shirt,2122206
570,Orkney,minecraft game - xbox,2122082
571,East Cambridgeshire,Onions Loose,2122058
572,Warwickshire,flapjack,2121336
573,East Cambridgeshire,hp dv 2000 laptop,2120872
574,Warwickshire,cotton tie,2120616
575,Warwickshire,gameboy color,2120574
576,Orkney,samsung washing machine,2120306
577,Kent,21 day mature ribeye steak,2120010
578,Warwickshire,vanilla yoghurt,2119850
579,East Cambridgeshire,Sweet potatoes loose,2119688
580,East Cambridgeshire,hp dv 3000 laptop,2119628
581,East Cambridgeshire,gaming mouse,2119596
582,Warwickshire,Spring onions bunch,2119394
583,Greater London,flapjack,2119388
584,Kent,aubergine,2119232
585,Warwickshire,unsalted butter,2119040
586,Warwickshire,chocolate twist,2119032
587,Greater London,beef mince,2118956
588,Orkney,croisant ,2118926
589,Warwickshire,dyson vacuum cleaner,2118906
590,Kent,classic bowtie,2118726
591,East Cambridgeshire,cod fillets,2118654
592,Greater London,hp dv 2000 laptop,2118654
593,Warwickshire,play station 3,2118620
594,Warwickshire,hotpoint washing machine,2118458
595,Warwickshire,halo combat evolved,2118388
596,Kent,sea bass fillets,2118186
597,Warwickshire,Red pepper,2118112
598,East Cambridgeshire,custard doughnut,2118086
599,East Cambridgeshire,celery,2118076
600,Orkney,pain au chocolate,2117978
601,Greater London,rice,2117878
602,Orkney,fine beans,2117638
603,East Cambridgeshire,beans,2117498
604,East Cambridgeshire,minecraft game - xbox,2117338
605,Warwickshire,linen shirt,2117298
606,Warwickshire,custard doughnut,2117262
607,Warwickshire,gaming keyboard,2117176
608,Orkney,mild cheddar cheese,2116968
609,Kent,british fresh turkey mince,2116914
610,Greater London,21 day mature ribeye steak,2116884
611,Warwickshire,Slightly salted butter,2116644
612,East Cambridgeshire,Organic Kefir,2116616
613,East Cambridgeshire,god of war 2,2116424
614,Greater London,lg washing machine,2116420
615,Greater London,aubergine,2116334
616,Greater London,scottish salmon,2116294
617,Greater London,British baking potatoes loose,2116094
618,Greater London,mature cheddar cheese,2116072
619,East Cambridgeshire,corn,2115736
620,Warwickshire,skimmed milk,2115660
621,Greater London,denim jeams,2114666
622,Warwickshire,british fresh turkey mince,2114576
623,Greater London,linen shirt,2114508
624,Greater London,British carrots loose,2114450
625,Orkney,organic soured cream,2114434
626,Orkney,fresh whole chicken,2114330
627,Greater London,Sweet potatoes loose,2114212
628,Greater London,chicken sausages,2114074
629,Kent,Mixed pepper,2114052
630,Warwickshire,hp dv 2000 laptop,2113952
631,Kent,skimmed milk,2113816
632,Greater London,Lemon,2113752
633,Orkney,rice,2113402
634,East Cambridgeshire,plastic sunshades,2113298
635,Greater London,gameboy advance,2113000
636,Greater London,chocolate twist,2112994
637,Warwickshire,Plain Greek yoghurt,2112946
638,Warwickshire,21 day mature sirlion steak,2112904
639,Greater London,croisant ,2112804
640,Warwickshire,british bramley cooking apples,2112596
641,Greater London,cotton tie,2112484
642,Warwickshire,British carrots loose,2112270
643,Orkney,british bramley cooking apples,2111844
644,Warwickshire,apple macbook pro mid 2009,2111818
645,Orkney,sea bass fillets,2111532
646,Greater London,almond croisant,2111296
647,Greater London,easy peeler loose,2111274
648,Kent,hp dv 2000 laptop,2111204
649,Greater London,cod fillets,2111068
650,East Cambridgeshire,aubergine,2111052
651,Warwickshire,denim jeams,2111010
652,Greater London,dyson tower fan,2110982
653,Kent,Brocolli loose,2110932
654,Warwickshire,fresh whole chicken,2110916
655,Orkney,denim jeams,2110882
656,Orkney,mature cheddar cheese,2110844
657,Orkney,21 day mature ribeye steak,2110670
658,Orkney,chocolate twist,2110464
659,East Cambridgeshire,cotton tie,2110390
660,Warwickshire,Sweet potatoes loose,2110358
661,Kent,beef sausages,2110152
662,Orkney,courgette loose,2110030
663,Greater London,unsalted butter,2109740
664,Kent,Plain Greek yoghurt,2109650
665,Kent,beans,2109542
666,Kent,x-box 360,2109454
667,Warwickshire,cheese cake,2109346
668,Orkney,Organic Kefir,2109320
669,Warwickshire,shortbread,2109162
670,Orkney,cod fillets,2108724
671,Kent,gameboy color,2108604
672,Warwickshire,courgette loose,2108396
673,Greater London,macaron - x3,2108316
674,Kent,bosch washing machine,2108294
675,Kent,free range large eggs x12,2108270
